"","qq","troopid"
"1","0000000013052525",135512928
"2","0000000013052525",198796881
"3","0000000013052525",282675021
"4","0000000013052525",297299970
"5","0000000013052525",309946947
"6","0000000013052525",318047190
"7","0000000013052525",332547592
"8","005412",102038086
"9","005412",107534910
"10","005412",117839365
"11","005412",135297366
"12","005412",138845219
"13","005412",156692410
"14","005412",160093518
"15","005412",17176148
"16","005412",177362016
"17","005412",181572738
"18","005412",209893050
"19","005412",221360973
"20","005412",223892668
"21","005412",230981281
"22","005412",238468563
"23","005412",240168395
"24","005412",245185908
"25","005412",248928360
"26","005412",249364676
"27","005412",251190542
"28","005412",262014462
"29","005412",284789196
"30","005412",28482910
"31","005412",313157219
"32","005412",339059088
"33","005412",342130772
"34","005412",371495942
"35","005412",372893577
"36","005412",379285878
"37","005412",386078547
"38","005412",427844008
"39","005412",489305454
"40","005412",63247395
"41","0054485",102038086
"42","0054485",107534910
"43","0054485",117839365
"44","0054485",135297366
"45","0054485",138845219
"46","0054485",156692410
"47","0054485",160093518
"48","0054485",17176148
"49","0054485",177362016
"50","0054485",181572738
"51","0054485",209893050
"52","0054485",221360973
"53","0054485",223892668
"54","0054485",230981281
"55","0054485",238468563
"56","0054485",240168395
"57","0054485",245185908
"58","0054485",248928360
"59","0054485",249364676
"60","0054485",251190542
"61","0054485",262014462
"62","0054485",284789196
"63","0054485",28482910
"64","0054485",313157219
"65","0054485",339059088
"66","0054485",342130772
"67","0054485",371495942
"68","0054485",372893577
"69","0054485",379285878
"70","0054485",386078547
"71","0054485",427844008
"72","0054485",489305454
"73","0054485",63247395
"74","006135",102038086
"75","006135",107534910
"76","006135",117839365
"77","006135",135297366
"78","006135",138845219
"79","006135",156692410
"80","006135",160093518
"81","006135",17176148
"82","006135",177362016
"83","006135",181572738
"84","006135",209893050
"85","006135",221360973
"86","006135",223892668
"87","006135",230981281
"88","006135",238468563
"89","006135",240168395
"90","006135",245185908
"91","006135",248928360
"92","006135",249364676
"93","006135",251190542
"94","006135",262014462
"95","006135",284789196
"96","006135",28482910
"97","006135",313157219
"98","006135",339059088
"99","006135",342130772
"100","006135",371495942
"101","006135",372893577
"102","006135",379285878
"103","006135",386078547
"104","006135",427844008
"105","006135",489305454
"106","006135",63247395
"107","10000467",168080856
"108","10000467",182019213
"109","1003575985",138845219
"110","1003575985",190163694
"111","1003575985",22688090
"112","1003575985",249043180
"113","1003575985",277937133
"114","1003575985",28482910
"115","1003575985",289353465
"116","1003575985",80053905
"117","1003575985",82037288
"118","1003575985",89569750
"119","1003967563",105074493
"120","1003967563",111610364
"121","1003967563",119468117
"122","1003967563",13292352
"123","1003967563",141932479
"124","1003967563",186189870
"125","1003967563",209985612
"126","1003967563",235766178
"127","1003967563",256017868
"128","1003967563",315852166
"129","1003967563",362982196
"130","1003967563",364189550
"131","1003967563",371495942
"132","1003967563",411153249
"133","1003967563",413519021
"134","1003967563",484111179
"135","1003967563",9458450
"136","1004393221",45617959
"137","1005010651",230981281
"138","1005010651",251190542
"139","1005189906",106650837
"140","1005189906",108509551
"141","1005189906",108937767
"142","1005189906",112555698
"143","1005189906",112747466
"144","1005189906",113187526
"145","1005189906",122487023
"146","1005189906",126830699
"147","1005189906",145164815
"148","1005189906",172075617
"149","1005189906",181681485
"150","1005189906",18380056
"151","1005189906",184553838
"152","1005189906",184910370
"153","1005189906",194409629
"154","1005189906",195495328
"155","1005189906",198796881
"156","1005189906",200106703
"157","1005189906",203289959
"158","1005189906",218815484
"159","1005189906",22688090
"160","1005189906",235655190
"161","1005189906",239580811
"162","1005189906",246745938
"163","1005189906",249094573
"164","1005189906",255160711
"165","1005189906",281161276
"166","1005189906",28482910
"167","1005189906",285956046
"168","1005189906",288601067
"169","1005189906",28944603
"170","1005189906",290474148
"171","1005189906",294784374
"172","1005189906",312179756
"173","1005189906",315981502
"174","1005189906",323685453
"175","1005189906",328537961
"176","1005189906",369657128
"177","1005189906",384400375
"178","1005189906",420230565
"179","1005189906",425066330
"180","1005189906",63247395
"181","1005189906",63600561
"182","1005189906",75346464
"183","1005189906",79406668
"184","1005189906",80564119
"185","100526257",319096993
"186","1006399131",165029365
"187","1006399131",192070129
"188","1006399131",209985612
"189","1006399131",275477343
"190","1006399131",371503487
"191","1006399131",383040052
"192","1006399131",94585948
"193","1009543367",107534910
"194","1009543367",112822629
"195","1009543367",113187526
"196","1009543367",128906555
"197","1009543367",14338171
"198","1009543367",163894847
"199","1009543367",164816393
"200","1009543367",209480900
"201","1009543367",23228574
"202","1009543367",25498640
"203","1009543367",259645608
"204","1009543367",319096993
"205","1009543367",427533671
"206","1009543367",427844008
"207","1009543367",45747093
"208","1009543367",80053905
"209","1009615497",156132545
"210","1009615497",230981281
"211","1010641748",255160711
"212","1010641748",260370451
"213","1010641748",421613015
"214","1010800695",107534910
"215","1010800695",110537946
"216","1010800695",113187526
"217","1010800695",13053120
"218","1010800695",133199156
"219","1010800695",135297366
"220","1010800695",135512928
"221","1010800695",145164815
"222","1010800695",159607459
"223","1010800695",160236131
"224","1010800695",169233612
"225","1010800695",170592799
"226","1010800695",171658975
"227","1010800695",181572738
"228","1010800695",181681485
"229","1010800695",182813877
"230","1010800695",184571663
"231","1010800695",185417836
"232","1010800695",190242602
"233","1010800695",192890196
"234","1010800695",194409629
"235","1010800695",201371399
"236","1010800695",209893050
"237","1010800695",209987395
"238","1010800695",215027593
"239","1010800695",219742587
"240","1010800695",221360973
"241","1010800695",223892668
"242","1010800695",23228574
"243","1010800695",234331
"244","1010800695",242376063
"245","1010800695",249043180
"246","1010800695",251923038
"247","1010800695",277834343
"248","1010800695",281161276
"249","1010800695",28482910
"250","1010800695",292825146
"251","1010800695",312528842
"252","1010800695",313157219
"253","1010800695",318763412
"254","1010800695",330263192
"255","1010800695",371552927
"256","1010800695",386078547
"257","1010800695",41256498
"258","1010800695",425188642
"259","1010800695",427844008
"260","1010800695",477809923
"261","1010800695",50903376
"262","1010800695",55104919
"263","1010800695",68350290
"264","1010800695",75346464
"265","1010800695",80053905
"266","1010800695",80564119
"267","101265586",105877597
"268","101265586",244535556
"269","101265586",264012989
"270","101265586",329310714
"271","101265586",450163837
"272","1013581975",181450247
"273","1013581975",195629682
"274","1013581975",374547765
"275","1013581975",414945924
"276","1015326636",102038086
"277","1015326636",107534910
"278","1015326636",117839365
"279","1015326636",135297366
"280","1015326636",138845219
"281","1015326636",156692410
"282","1015326636",160093518
"283","1015326636",17176148
"284","1015326636",177362016
"285","1015326636",181572738
"286","1015326636",209893050
"287","1015326636",221360973
"288","1015326636",223892668
"289","1015326636",230981281
"290","1015326636",238468563
"291","1015326636",240168395
"292","1015326636",245185908
"293","1015326636",248928360
"294","1015326636",249364676
"295","1015326636",251190542
"296","1015326636",262014462
"297","1015326636",284789196
"298","1015326636",28482910
"299","1015326636",313157219
"300","1015326636",339059088
"301","1015326636",342130772
"302","1015326636",371495942
"303","1015326636",372893577
"304","1015326636",379285878
"305","1015326636",386078547
"306","1015326636",427844008
"307","1015326636",489305454
"308","1015326636",63247395
"309","10157381",116950269
"310","10157381",162623863
"311","10157381",182813877
"312","10157381",213724149
"313","10157381",237296109
"314","10157381",27985599
"315","1015757088",186822140
"316","1015757088",221881908
"317","1015757088",231562797
"318","1015757088",417592171
"319","1015757088",484111179
"320","1015770761",145164815
"321","1015770761",209893050
"322","1015770761",427844008
"323","1016822570",141932479
"324","1016822570",169819160
"325","1016822570",306467955
"326","1016822570",344852316
"327","1016822570",391277158
"328","1016822570",56845550
"329","1016822570",68350290
"330","101692077",235766178
"331","101877446",15176325
"332","101877446",224099240
"333","1019634711",159941164
"334","1019634711",190242602
"335","1019634711",68350290
"336","1019634711",97732214
"337","1020546449",255028340
"338","1020546449",313157219
"339","1020839878",115031358
"340","1020839878",138861631
"341","1020839878",142168489
"342","1020839878",222506668
"343","1020839878",253076019
"344","1020839878",27985599
"345","1020839878",306660878
"346","1020839878",383370349
"347","1020839878",53633349
"348","1020839878",74561271
"349","1020870011",106650837
"350","1020870011",108509551
"351","1020870011",131399105
"352","1020870011",131527997
"353","1020870011",133908032
"354","1020870011",158374322
"355","1020870011",184910370
"356","1020870011",192874243
"357","1020870011",197218949
"358","1020870011",205530178
"359","1020870011",207378037
"360","1020870011",218815484
"361","1020870011",224326394
"362","1020870011",237250796
"363","1020870011",249094573
"364","1020870011",271635679
"365","1020870011",286978653
"366","1020870011",318464698
"367","1020870011",331050354
"368","1020870011",342130772
"369","1020870011",384151833
"370","1020870011",386078547
"371","1020870011",68352124
"372","1020870011",79406668
"373","1023413787",145164815
"374","1023413787",276216878
"375","1023413787",427844008
"376","1023413787",438168506
"377","1024427668",102038086
"378","1024427668",169085235
"379","1024427668",169233612
"380","1024427668",209987395
"381","1024427668",234331
"382","1024427668",371495942
"383","1024427668",80053905
"384","1024427668",83415226
"385","1024427668",91519241
"386","1024808886",222506668
"387","1024808886",384182259
"388","1024918674",117839365
"389","1024918674",135512928
"390","1024918674",138845219
"391","1024918674",235766178
"392","1024918674",36055015
"393","1025461127",120751449
"394","1025461127",136382522
"395","1025461127",138636556
"396","1025461127",142725096
"397","1025461127",155570287
"398","1025461127",172510024
"399","1025461127",175227776
"400","1025461127",175463076
"401","1025461127",181170406
"402","1025461127",214923392
"403","1025461127",218652063
"404","1025461127",224099240
"405","1025461127",244535556
"406","1025461127",251190542
"407","1025461127",252498149
"408","1025461127",253076019
"409","1025461127",276847516
"410","1025461127",293494093
"411","1025461127",297463962
"412","1025461127",306660878
"413","1025461127",31628277
"414","1025461127",318351807
"415","1025461127",369020991
"416","1025461127",376894218
"417","1025461127",384182259
"418","1025461127",423686665
"419","1025461127",89544849
"420","1025502476",240625287
"421","1025502476",37669680
"422","1027312179",91519241
"423","10275006",117985171
"424","10275006",130352342
"425","10275006",169819160
"426","10275006",181450247
"427","10275006",218652063
"428","10275006",230314791
"429","10275006",251134929
"430","10275006",264012989
"431","10275006",312677792
"432","10275006",334898166
"433","10275006",336721883
"434","10275006",36055015
"435","10275006",78814260
"436","1029398247",281161276
"437","1029398247",285771072
"438","1029398247",386078547
"439","1029398247",41256498
"440","1029398247",49076926
"441","1029409306",272107335
"442","1029409306",427844008
"443","1029409306",80053905
"444","1029988350",229661578
"445","1029988350",276216878
"446","1029988350",361446643
"447","1029988350",427844008
"448","1029988350",63247395
"449","1032538862",117839365
"450","1032538862",195379279
"451","1032538862",36055015
"452","1032538862",414945924
"453","1032538862",74561271
"454","10351233",323685453
"455","10351233",427844008
"456","1036739730",115031358
"457","1036739730",234331
"458","103920300",118660224
"459","1039471544",304631178
"460","1040775845",11084526
"461","1040775845",281026627
"462","1040775845",318047190
"463","1040775845",345855126
"464","1040775845",391277158
"465","1040775845",471688654
"466","1040775845",471874622
"467","1040775845",93095678
"468","1042494014",111610364
"469","1042494014",131944043
"470","1042494014",142067876
"471","1042494014",182019213
"472","1042494014",213123358
"473","1042494014",235766178
"474","1042494014",27985599
